Model,Vcruise,Vcruise_kmh
Global 5000,566.9499999999999,1049.9913999999999
Challenger 850ER,513.59,951.1686800000001
55C/LR,,
55 (1984-'85),417.0,772.284
CL-601-3A Challenger (3R=long-range),442.0,818.5840000000001
CL-601 Challenger (GE engs),442.0,818.5840000000001
55 (thru 1983),,
45XR,526.9300000000001,975.8743600000001
CL-600 Challenger (AVCO engs),442.0,818.5840000000001
45,526.9300000000001,975.8743600000001
CL-604 Challenger,459.0,850.0680000000001
40,526.9300000000001,975.8743600000001
Challenger 605,533.6,988.2272
Challenger 650,533.6,988.2272
Challenger 300,459.0,850.0680000000001
"36 A (prior'82 = gross weight @ 18,000)",460.0,851.9200000000001
Challenger 350,533.6,988.2272
36,441.0,816.7320000000001
Learjet 75/70,447.0,827.844
35A,460.0,851.9200000000001
35,441.0,816.7320000000001
31 Std. (31A Vmo = 476 kts),,
29 Longhorn,441.0,816.7320000000001
28 Longhorn,441.0,816.7320000000001
25G,464.0,859.3280000000001
"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",459.0,850.0680000000001
25 B (1973 thru 1975),441.0,816.7320000000001
25 C (1973 thru 1975),441.0,816.7320000000001
25 B & C (thru '72),442.0,818.5840000000001
"24 F (w/8A engs=51,000 service ceil)",441.0,816.7320000000001
"24 E (prior to '77=12,499 gross)",441.0,816.7320000000001
24 D (1973 thru 1975),441.0,816.7320000000001
24 D (thru'72),442.0,818.5840000000001
24 C,442.0,818.5840000000001
24 B,437.0,809.3240000000001
24 Twin Jet,417.0,772.284
23 Twin Jet,423.0,783.3960000000001
Citation Longitude,483.0,894.5160000000001
750 Citation X,511.0,946.3720000000001
Citation X+,470.0,870.44
Citation Sovereign+ 680,448.0,829.696
680 Citation Sovereign,446.0,825.9920000000001
Citation Latitude,446.0,825.9920000000001
650 Citation VII,476.0,881.552
Citation XLS,354.0,655.6080000000001
650 Citation VI,,
650 Citation III (SN 100 and up),461.0,853.772
650 Citation III (thru SN 099),,
560-XL Citation Excel,429.0,794.508
Citation Encore,427.0,790.8040000000001
560 Citation V Ultra,430.0,796.36
560 Citation V,425.0,787.1
550 Citation Bravo,401.0,742.652
S550 Citation SII,403.0,746.356
Citation II 550 (SN 627 & up),385.0,713.02
Citation II 550 (thru SN 626),385.0,713.02
Citation II 551,385.0,713.02
Citation CJ3 525B,351.0,650.052
Citation CJ2+ 525A,356.0,659.312
Citation CJ2 525A,352.0,651.904
Citation CJ1+ 525,353.0,653.7560000000001
Citation CJ1 525,329.0,609.308
Citationjet 525,380.0,703.76
Citation Mustang 510,,
Citation I 500/501 (unit-0470 thru -0677 & on),357.0,661.164
Citation I 500,351.0,650.052
"Citation 500 (SN 303 & up = 11,850 lb gross)",348.0,644.496
Citation 500 (SN 1-70),348.0,644.496
441 Conquest,283.0,524.116
425 Conquest I,,
425 Corsair,250.0,463.0
421C Golden Eagle III ('79 stall=85 mph),241.0,446.332
421B Golden Eagle,235.0,435.22
421 - A & B,227.0,420.404
421 pressurized/turbocharged,222.0,411.144
414A II Chancellor (pressurized-turbo) ('78 span=44/3),224.0,414.848
414 pressurized-turbocharged,224.0,414.848
"411, A, turbocharged",214.0,396.32800000000003
404 Titan Ambassador II,217.0,401.884
402C Business Liner II,213.0,394.476
"402B, Business Liner",210.0,388.92
"402,-A turbocharged",209.0,387.06800000000004
"401,-A & B turbocharged",209.0,387.06800000000004
"340 A, II pressurized/turbocharged",229.0,424.108
340 pressurized/turbocharged,210.0,388.92
335 II nonpressurized/turbocharged,215.0,398.18
"320D-E-F Skyknight turbo (D=5,200 g/w)",226.0,418.552
320 A-B-C Skyknight turbocharged,213.0,394.476
320 Skyknight turbocharged,204.0,377.808
"T 310 R, II turbocharged",223.0,412.99600000000004
T 310 Q turbocharged,225.0,416.70000000000005
T 310 P turbocharged,226.0,418.552
"310 R, II",194.0,359.288
310 Q,192.0,355.584
310 P,193.0,357.43600000000004
"310K,L,N (fuel inj.)",193.0,357.43600000000004
"310 I, J (fuel inj.)",194.0,359.288
310 H (fuel inj.),194.0,359.288
"310 F,-G (fuel inj.)",191.0,353.732
"310,-A",178.0,329.656
T303 Crusader,180.0,333.36
"T 337 G-P II,H-P, Skymaster pressurized",204.0,377.808
"T-337 H-II (prior'79 t/o perf=1,620 & 1,000)",200.0,370.40000000000003
T 337 E & F Skymaster turbocharged,194.0,359.288
T 337 D Skymaster turbocharged,195.0,361.14000000000004
T 337 C Skymaster turbocharged,195.0,361.14000000000004
T 337 B Skymaster turbocharged,196.0,362.992
"337 G,H II Skymaster (prior '79 service ceiling=18,000)",169.0,312.988
337 F Skymaster,165.0,305.58000000000004
337 E Skymaster,166.0,307.432
337 D Skymaster,166.0,307.432
337 C Skymaster,166.0,307.432
337 B Skymaster,167.0,309.284
"337,-A, Skymaster",167.0,309.284
336 Skymaster fixed-gear,150.0,277.8
208B Caravan I Super Cargomaster,171.0,316.692
208 Caravan I (thru SN 0060=w/o high gross kit),,
208 Caravan-675,154.0,285.208
208B Grand Caravan,154.0,285.208
Cessna TTx,235.0,435.22
P210R pressurized,212.0,392.624
P210N II pressurized ('81=less performance),191.0,353.732
T210R Turbo Centurion,207.0,383.36400000000003
T210N Turbo Centurion,192.0,355.584
"T 210 M Turbo (prior '77 length=28/3, hgt=9/8)",197.0,364.844
"T 210 K,L Turbo (K=9 mph less speed)",187.0,346.324
"T 210 G,H & J Turbo Centurion",194.0,359.288
T 210 F Turbo Centurion,191.0,353.732
210R Centurion,,
"210 M,NII (prior'78=less svc. ceil. & r/o/c=860)",170.0,314.84000000000003
"210 G, H & J, K, L Centurion",167.0,309.284
210 F Centurion,165.0,305.58000000000004
210 D & E Centurion,166.0,307.432
"210 B,C Two Ten",160.0,296.32
210 A,165.0,305.58000000000004
T 207 (Stationair 7 & 8) '77=eng 310 hp,161.0,298.172
207 Skywagn & Stnair 7&8 (prior'79 lgt=31/9),143.0,264.836
TU 206G II Stationair 6 (float),135.0,250.02
"TU206 C,-D,-E,-F (float) (prior '71 span=36/7)",143.0,264.836
U206 G II Stationair 6 (float) '79-'82,131.0,242.61200000000002
U206G (float) Stationair 6,130.0,240.76000000000002
"U206E,F, float ('75-'76 specs) '76=+4 gal fuel",131.0,242.61200000000002
"206C,D, float Skywagon",131.0,242.61200000000002
"TU 206E,F (ski) (prior'76=4 gal more fuel)",132.0,244.464
U206 F (ski) Stationair (1976 specs),118.0,218.536
"U206 E,F (ski) Super Skywagon",119.0,220.388
TU 206G (prior'79=12 gal less fuel+9/7 hgt),152.0,281.504
"TU 206E,F Stationair",148.0,274.096
"TU 206 A,B,C,D,(A&B length=27/8)",160.0,296.32
"U206 F,G II ('75 up) '75 lgt=28/9 + prior'79 less fuel)",147.0,272.244
"U206B,C,D,E Skywagon (B=lgt 28/0) (E=35/10 span)",143.0,264.836
U 206 A,142.0,262.98400000000004
"206, U 206 Super Skywagon",144.0,266.688
"TP 206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",160.0,296.32
T206H Turbo Stationair,150.0,277.8
206H Stationair,142.0,262.98400000000004
"P206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",142.0,262.98400000000004
P 206 Super Skylane,143.0,264.836
205-A,138.0,255.57600000000002
195 B,143.0,264.836
195 A,139.0,257.428
195,148.0,274.096
190,139.0,257.428
T 188C Ag Husky (prior'81=4 mph less),106.0,196.312
A188B Ag Truck ('79 & up) dispersal sys,101.0,187.05200000000002
A188B Ag Wagon ('79 & up) dispersal sys,103.0,190.756
A188 Ag Truck restricted ('72-'73=7/10 hgt),98.0,181.496
A188 Ag Wagon restricted (prior'77=7/10 hgt),98.0,181.496
188 Ag Pickup fixed-prop ('73-'75) restricted,78.0,144.45600000000002
188 Ag Pickup fixed-prop ('72) restricted,83.0,153.716
"A188,A,B, Ag Wagon ('66-'71) normal",123.0,227.79600000000002
"188A,B Ag Wagon ('67-'71) fixed-prop normal",101.0,187.05200000000002
185 F Amph (water) prior '79 = 4-8 gal less fuel,130.0,240.76000000000002
A185 F (float) (prior '79 = 4-8 gal less fuel),134.0,248.168
A185 F (ski) (prior '79=less fuel) '77-78 lgt=27/11,131.0,242.61200000000002
A185 F II Skywagon (prior '81=less perform),145.0,268.54
A 185 E Skywagon,147.0,272.244
185 E Skywagon,145.0,268.54
"185 A,B,C,D Skywagon",145.0,268.54
R182 II RG Turbo Skylane,173.0,320.396
R182-RG II Skylane (optl EGT required on svc. ceil.),156.0,288.91200000000003
T-182R II Turbo Skylane,157.0,290.764
T182T Turbo Skylane,159.0,294.468
182T Skylane,145.0,268.54
182S ('97 & up),140.0,259.28000000000003
182R II (1981 & up),142.0,262.98400000000004
"182P,Q (prior '79 = 8-12 gal less fuel) thru'80",143.0,264.836
182 N Skylane,139.0,257.428
"182 J,K,L,M Skylane (M lgt=28/1, hgt=8/9)",141.0,261.132
"182 E,F,G,H",141.0,261.132
"182 A,B,C,D (D=more fuel & bigger)",141.0,261.132
182,135.0,250.02
180K-'78 up (amphib & float=27/0 length & 12/2 height),123.0,227.79600000000002
"180J,K amphib prior'76=4 gal more fuel (range w/80 gal fuel)",123.0,227.79600000000002
"180J,K (float) prior '76 lgt=27/8 (range w/80)",123.0,227.79600000000002
"180J,K (ski) (prior'79=15,600 serv. ceil, less fuel)",123.0,227.79600000000002
"180J,K (J=19,600 service ceiling)",141.0,261.132
"180 G,-H",141.0,261.132
"180 A,-B,-C,-D,-E,-F",139.0,257.428
180,137.0,253.72400000000002
177 RG Cardinal (1972-'78),149.0,275.94800000000004
177 RG Cardinal,144.0,266.688
177 B Cardinal (1975-'78 specs),130.0,240.76000000000002
177 B (thru'74)'70-'71 lgt=27/0 & hgt=9/1,123.0,227.79600000000002
177 A Cardinal,120.0,222.24
177 Cardinal,117.0,216.684
175 C,118.0,218.536
"175,-A,-B",121.0,224.092
172 RG II Cutlass,140.0,259.28000000000003
172 Q Cutlass,122.0,225.94400000000002
R172K/Hawk XP ('77 t/o ground run=850),130.0,240.76000000000002
172S Skyhawk SP,124.0,229.64800000000002
172 Skyhawk ('97 & up),122.0,225.94400000000002
172 P II Skyhawk,120.0,222.24
